"filename", "language", "Go Module File", "Makefile", "Go Checksum File", "Markdown", "MS SQL", "Docker", "Go", "HTTP", "YAML", "comment", "blank", "total"
"/home/ali/repos/Automation/internal/core/credentials/seed.go", "Go", 0, 0, 0, 0, 0, 0, 66, 0, 0, 1, 9, 76
"/home/ali/repos/Automation/internal/core/credentials/service.go", "Go", 0, 0, 0, 0, 0, 0, 141, 0, 0, 5, 27, 173
"/home/ali/repos/Automation/internal/core/education/model.go", "Go", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"/home/ali/repos/Automation/internal/core/education/repo.go", "Go", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 12, 57
"/home/ali/repos/Automation/internal/core/education/seed.go", "Go", 0, 0, 0, 0, 0, 0, 63, 0, 0, 2, 9, 74
"/home/ali/repos/Automation/internal/core/education/service.go", "Go", 0, 0, 0, 0, 0, 0, 75, 0, 0, 4, 11, 90
"/home/ali/repos/Automation/internal/core/educationLevel/model.go", "Go", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"/home/ali/repos/Automation/internal/core/educationLevel/repo.go", "Go", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 11, 49
"/home/ali/repos/Automation/internal/core/educationLevel/seed.go", "Go", 0, 0, 0, 0, 0, 0, 22, 0, 0, 1, 8, 31
"/home/ali/repos/Automation/internal/core/educationLevel/service.go", "Go", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 7, 28
"/home/ali/repos/Automation/internal/core/familyinfo/model.go", "Go", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"/home/ali/repos/Automation/internal/core/familyinfo/repo.go", "Go", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 11, 49
"/home/ali/repos/Automation/internal/core/familyinfo/seed.go", "Go", 0, 0, 0, 0, 0, 0, 58, 0, 0, 2, 9, 69
